RED;Chapter;Article;Part;ShortN;LIMP;IMPMAX;IMPMIN;DISBATMAX;DISBATMIN;RESTOLMAX;RESTOLMIN;ARMAX;ARMIN;LIMMAX;LIMMIN;CORWMAX;CORWMIN;CIVMAX;CIVMIN;DEPRMAX;DEPRMIN;FINEMAX;FINEMIN;CONF;DEPRDOP;DEPRDOPMAX;DEPRDOPMIN;FINEDOP;FINEDOPMAX;FINEDOPMIN;GRADEMAN;GRADEAUTO;RANK;INDEX
2019;I;1090;1;Ст. 109 ч. 1;;10;5;;;;;;;;;;;;;;;;;1;;;;;;;3;;;
2019;I;1090;2;Ст. 109 ч. 2;;3;1;;;3;1;;;;;;;;;;;;;1;;;;;;;2;;;
2019;I;1090;3;Ст. 109 ч. 3;;5;1;;;5;1;;;;;;;;;;;;;1;;;;;;;2;;;
2019;I;1100;1;Ст. 110 ч. 1;;5;3;;;;;;;;;;;;;;;;;1;;;;;;;2;;;
2019;I;1100;2;Ст. 110 ч. 2;;10;5;;;;;;;;;;;;;;;;;1;;;;;;;3;;;
2019;I;1100;3;Ст. 110 ч. 3;1;15;10;;;;;;;;;;;;;;;;;1;;;;;;;4;;;
2019;I;1102;1;Ст. 110-2 ч. 1;;5;3;;;;;;;;;;;;;;;;;2;2;2;1;;;;2;;;
2019;I;1102;2;Ст. 110-2 ч. 2;;7;5;;;;;;;;;;;;;;;;;2;2;2;1;;;;3;;;
2019;I;1102;3;Ст. 110-2 ч. 3;;8;6;;;;;;;;;;;;;;;;;2;2;3;1;;;;3;;;
2019;I;1102;4;Ст. 110-2 ч. 4;;10;8;;;;;;;;;;;;;;;;;2;2;3;1;;;;3;;;
2019;I;1110;1;Ст. 111 ч. 1;;15;12;;;;;;;;;;;;;;;;;1;;;;;;;4;;;
2019;I;1120;1;Ст. 112 ч. 1;1;15;10;;;;;;;;;;;;;;;;;1;;;;;;;4;;;
2019;I;1130;1;Ст. 113 ч. 1;;15;10;;;;;;;;;;;;;;;;;1;;;;;;;4;;;
2019;I;1140;1;Ст. 114 ч. 1;;15;10;;;;;;;;;;;;;;;;;1;;;;;;;4;;;
2019;I;1141;1;Ст. 114-1 ч. 1;;8;5;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;I;1141;2;Ст. 114-1 ч. 2;;15;8;;;;;;;;;;;;;;;;;;;;;;;;4;;;
2019;II;1150;1;Ст. 115 ч. 1;;15;7;;;;;;;;;;;;;;;;;;;;;;;;4;;;
2019;II;1150;2;Ст. 115 ч. 2;1;15;10;;;;;;;;;;;;;;;;;1;;;;;;;4;;;
2019;II;1160;1;Ст. 116 ч. 1;;5;1;;;5;1;;;;;;;;;;;;;;;;;;;;2;;;
2019;II;1170;1;Ст. 117 ч. 1;;5;1;;;5;1;;;;;;;;;;;;;;;;;;;;2;;;
2019;II;1180;1;Ст. 118 ч. 1;;2;1;;;3;1;;;;;2;0,5;;;;;;;;;;;;;;1;;;
2019;II;1190;1;Ст. 119 ч. 1;;5;3;;;5;3;;;;;;;;;;;;;;;;;;;;2;;;
2019;II;1190;2;Ст. 119 ч. 2;;8;5;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;II;1200;1;Ст. 120 ч. 1;;3;1;;;3;1;;;;;;;;;;;;;;;;;;;;2;;;
2019;II;1200;2;Ст. 120 ч. 2;;5;1;;;5;1;;;;;;;;;;;;;;;;;;;;2;;;
2019;II;1200;3;Ст. 120 ч. 3;;10;7;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;II;1210;1;Ст. 121 ч. 1;;8;5;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;II;1210;2;Ст. 121 ч. 2;;10;7;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;II;1220;1;Ст. 122 ч. 1;;3;1;;;3;1;;;;;2;0,5;;;;;;;;;;;;;;2;;;
2019;II;1220;2;Ст. 122 ч. 2;;5;3;;;;;;;;;;;;;;;;;;;;;;;;2;;;
2019;II;1230;1;Ст. 123 ч. 1;;2;1;;;3;1;;;;;2;0,5;240;150;;;;;;;;;;;;1;;;
2019;II;1240;1;Ст. 124 ч. 1;;;;;;2;1;6;1;;;;;240;150;;;;;;;;;;;;1;;;
2019;II;1250;1;Ст. 125 ч. 1;;;;;;;;;;;;1;0,5;240;60;;;50;30;;;;;;;;1;;;
2019;II;1250;2;Ст. 125 ч. 2;;;;;;2;1;6;1;;;1;0,5;240;150;;;100;50;;;;;;;;1;;;
2019;II;1260;1;Ст. 126 ч. 1;;;;;;;;;;;;1;0,5;200;60;;;50;30;;;;;;;;1;;;
2019;II;1260;2;Ст. 126 ч. 2;;5;1;;;5;1;;;;;;;;;;;;;;;;;;;;2;;;
2019;II;1261;1;Ст. 126-1 ч. 1;;2;1;;;5;1;6;1;;;;;240;150;;;;;;;;;;;;1;;;
2019;II;1270;1;Ст. 127 ч. 1;;5;2;;;;;;;;;;;;;;;;;;;;;;;;2;;;
2019;II;1270;2;Ст. 127 ч. 2;;10;5;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;II;1280;1;Ст. 128 ч. 1;;;;;;2;1;;;;;2;0,5;240;150;;;;;;;;;;;;1;;;
2019;II;1290;1;Ст. 129 ч. 1;;;;;;2;1;6;1;;;;;;;;;;;;;;;;;;1;;;
2019;II;1290;2;Ст. 129 ч. 2;;5;3;;;;;;;;;;;;;;;;;;;;;;;;2;;;
2019;II;1300;1;Ст. 130 ч. 1;;3;1;;;5;1;3;1;;;;;;;;;;;;;;;;;;2;;;
2019;II;1300;2;Ст. 130 ч. 2;;5;2;;;;;;;;;;;;;;;;;;;;;;;;2;;;
2019;II;1300;3;Ст. 130 ч. 3;;8;3;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;II;1300;4;Ст. 130 ч. 4;;10;5;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;II;1310;1;Ст. 131 ч. 1;;3;1;;;3;1;;;;;;;;;;;;;;;;;;;;2;;;
2019;II;1310;2;Ст. 131 ч. 2;;8;3;;;;;;;;;;;;;;;;;;2;3;1;;;;3;;;
2019;II;1320;1;Ст. 132 ч. 1;;;;;;3;1;;;;;2;0,5;240;60;;;100;50;;1;3;1;;;;1;;;
2019;II;1330;1;Ст. 133 ч. 1;;2;1;;;2;1;6;1;;;2;0,5;;;;;;;;;;;;;;1;;;
2019;II;1330;2;Ст. 133 ч. 2;;3;1;;;5;1;;;;;;;;;;;;;;;;;;;;2;;;
2019;II;1330;3;Ст. 133 ч. 3;;5;2;;;;;;;;;;;;;;;;;;;;;;;;2;;;
2019;II;1340;1;Ст. 134 ч. 1;;;;;;2;1;;;;;2;0,5;240;100;;;100;50;;;;;;;;1;;;
2019;II;1340;2;Ст. 134 ч. 2;;3;1;;;5;1;;;;;;;;;;;;;;1;3;1;;;;2;;;
2019;II;1340;3;Ст. 134 ч. 3;;5;1;;;5;1;;;;;;;;;;;;;;1;3;1;;;;2;;;
2019;II;1340;4;Ст. 134 ч. 4;;;;;;5;1;;;;;;;;;;;;;;1;3;1;;;;1;;;
2019;II;1340;5;Ст. 134 ч. 5;;5;1;;;5;1;;;;;;;;;;;;;;1;3;1;;;;2;;;
2019;II;1350;1;Ст. 135 ч. 1;;2;1;;;2;1;;;;;;;;;;;;;;;;;;;;1;;;
2019;II;1350;2;Ст. 135 ч. 2;;3;1;;;3;1;;;;;;;;;;;;;;;;;;;;2;;;
2019;II;1350;3;Ст. 135 ч. 3;;8;3;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;II;1360;1;Ст. 136 ч. 1;;;;;;;;6;1;;;;;240;150;;;500;200;;;;;;;;1;;;
2019;II;1360;2;Ст. 136 ч. 2;;;;;;3;1;6;1;;;;;;;;;1000;500;;;;;;;;1;;;
2019;II;1360;3;Ст. 136 ч. 3;;5;2;;;5;3;;;;;;;;;;;;;;;;;;;;2;;;
2019;II;1370;1;Ст. 137 ч. 1;;3;1;;;3;1;;;;;;;;;;;300;100;;1;3;1;;;;2;;;
2019;II;1370;2;Ст. 137 ч. 2;;5;3;;;5;3;;;;;;;;;;;;;;1;3;1;;;;2;;;
2019;II;1380;1;Ст. 138 ч. 1;;3;1;;;3;1;;;;;2;0,5;;;;;;;;;;;;;;2;;;
2019;II;1390;1;Ст. 139 ч. 1;;;;;;;;;;;;2;0,5;200;60;;;50;30;;2;3;1;;;;1;;;
2019;II;1390;2;Ст. 139 ч. 2;;3;1;;;4;1;;;;;;;;;;;;;;1;3;1;;;;2;;;
2019;II;1400;1;Ст. 140 ч. 1;;2;1;;;2;1;;;;;2;0,5;;;5;2;;;;;;;;;;1;;;
2019;II;1400;2;Ст. 140 ч. 2;;3;1;;;5;1;;;;;;;;;;;;;;2;3;1;;;;2;;;
2019;II;1410;1;Ст. 141 ч. 1;;5;3;;;5;3;;;;;;;;;;;;;;;;;;;;2;;;
2019;II;1420;1;Ст. 142 ч. 1;;;;;;4;1;;;;;2;0,5;;;;;200;30;;2;3;1;;;;1;;;
2019;II;1420;2;Ст. 142 ч. 2;;5;1;;;5;1;;;;;;;;;;;;;;1;3;1;;;;2;;;
2019;II;1430;1;Ст. 143 ч. 1;;;;;;3;1;;;;;2;0,5;;;;;50;30;;1;3;1;;;;1;;;
2019;II;1430;2;Ст. 143 ч. 2;;5;1;;;;;;;;;;;;;;;;;;2;3;1;;;;2;;;
2019;II;1430;3;Ст. 143 ч. 3;;7;5;;;;;;;;;;;;;;;;;;2;3;1;;;;3;;;
2019;II;1430;4;Ст. 143 ч. 4;;5;1;;;;;;;;;;;;;;;;;;;;;;;;2;;;
2019;II;1430;5;Ст. 143 ч. 5;;8;5;;;;;;;;;;;;;;;;;;2;3;1;;;;3;;;
2019;II;1440;1;Ст. 144 ч. 1;;;;;;2;1;;;;;2;0,5;;;3;2;;;;;;;1;50;30;1;;;
2019;II;1440;2;Ст. 144 ч. 2;;3;1;;;5;1;;;;;;;;;;;;;;1;3;1;;;;2;;;
