RED;Chapter;Article;Part;ShortN;LIMP;IMPMAX;IMPMIN;DISBATMAX;DISBATMIN;RESTOLMAX;RESTOLMIN;ARMAX;ARMIN;LIMMAX;LIMMIN;CORWMAX;CORWMIN;CIVMAX;CIVMIN;DEPRMAX;DEPRMIN;FINEMAX;FINEMIN;CONF;DEPRDOP;DEPRDOPMAX;DEPRDOPMIN;FINEDOP;FINEDOPMAX;FINEDOPMIN;GRADEMAN;GRADEAUTO
2021;I;1090;1;art. 109 p. 1;;10;5;;;;;;;;;;;;;;;;;1;;;;;;;3;
2021;I;1090;2;art. 109 p. 2;;3;1;;;3;1;;;;;;;;;;;;;1;;;;;;;2;
2021;I;1090;3;art. 109 p. 3;;5;1;;;5;1;;;;;;;;;;;;;1;;;;;;;2;
2021;I;1100;1;art. 110 p. 1;;5;3;;;;;;;;;;;;;;;;;1;;;;;;;2;
2021;I;1100;2;art. 110 p. 2;;10;5;;;;;;;;;;;;;;;;;1;;;;;;;3;
2021;I;1100;3;art. 110 p. 3;1;15;10;;;;;;;;;;;;;;;;;1;;;;;;;4;
2021;I;1102;1;art. 110-2 p. 1;;5;3;;;;;;;;;;;;;;;;;2;2;2;1;;;;2;
2021;I;1102;2;art. 110-2 p. 2;;7;5;;;;;;;;;;;;;;;;;2;2;2;1;;;;3;
2021;I;1102;3;art. 110-2 p. 3;;8;6;;;;;;;;;;;;;;;;;2;2;3;1;;;;3;
2021;I;1102;4;art. 110-2 p. 4;;10;8;;;;;;;;;;;;;;;;;2;2;3;1;;;;3;
2021;I;1110;1;art. 111 p. 1;;15;12;;;;;;;;;;;;;;;;;1;;;;;;;4;
2021;I;1120;1;art. 112 p. 1;1;15;10;;;;;;;;;;;;;;;;;1;;;;;;;4;
2021;I;1130;1;art. 113 p. 1;;15;10;;;;;;;;;;;;;;;;;1;;;;;;;4;
2021;I;1140;1;art. 114 p. 1;;15;10;;;;;;;;;;;;;;;;;1;;;;;;;4;
2021;I;1141;1;art. 114-1 p. 1;;8;5;;;;;;;;;;;;;;;;;;;;;;;;3;
2021;I;1141;2;art. 114-1 p. 2;;15;8;;;;;;;;;;;;;;;;;;;;;;;;4;
2021;II;1150;1;art. 115 p. 1;;15;7;;;;;;;;;;;;;;;;;;;;;;;;4;
2021;II;1150;2;art. 115 p. 2;1;15;10;;;;;;;;;;;;;;;;;1;;;;;;;4;
2021;II;1160;1;art. 116 p. 1;;5;1;;;5;1;;;;;;;;;;;;;;;;;;;;2;
2021;II;1170;1;art. 117 p. 1;;5;1;;;5;1;;;;;;;;;;;;;;;;;;;;2;
2021;II;1180;1;art. 118 p. 1;;2;1;;;3;1;;;;;2;0,5;;;;;;;;;;;;;;2;
2021;II;1190;1;art. 119 p. 1;;5;3;;;5;3;;;;;;;;;;;;;;;;;;;;2;
2021;II;1190;2;art. 119 p. 2;;8;5;;;;;;;;;;;;;;;;;;;;;;;;3;
2021;II;1200;1;art. 120 p. 1;;3;1;;;3;1;;;;;;;;;;;;;;;;;;;;2;
2021;II;1200;2;art. 120 p. 2;;5;1;;;5;1;;;;;;;;;;;;;;;;;;;;2;
