COMENT;QNT;Year
total;146858;2008
prost;30271;2008
seredn;63943;2008
tyaj;46946;2008
osob tyaj;5698;2008
total;146383;2009
prost;26827;2009
seredn;64846;2009
tyaj;48905;2009
osob tyaj;5805;2009
total;168774;2010
prost;25931;2010
seredn;79184;2010
tyaj;58008;2010
osob tyaj;5651;2010
total;154356;2011
prost;22898;2011
seredn;74593;2011
tyaj;52739;2011
osob tyaj;4373;2011
total;162881;2012
prost;23742;2012
seredn;83425;2012
tyaj;51484;2012
osob tyaj;4251;2012
total;122973;2013
prost;24614;2013
seredn;58286;2013
tyaj;36287;2013
osob tyaj;3786;2013
total;102170;2014
prost;21228;2014
seredn;49741;2014
tyaj;28856;2014
osob tyaj;2345;2014
total;94798;2015
prost;14894;2015
seredn;49248;2015
tyaj;28907;2015
osob tyaj;1749;2015
total;76217;2016
prost;10993;2016
seredn;38513;2016
tyaj;25276;2016
osob tyaj;1435;2016
total;76804;2017
prost;10091;2017
seredn;39949;2017
tyaj;25473;2017
osob tyaj;1291;2017
total;73659;2018
prost;9857;2018
seredn;39363;2018
tyaj;23393;2018
osob tyaj;1046;2018
total;70375;2019
prost;10038;2019
seredn;37824;2019
tyaj;21571;2019
osob tyaj;942;2019
total;67519;2020
prost;27637;2020
seredn;19109;2020
tyaj;19787;2020
osob tyaj;986;2020
